id,index,category,type,level,title,title_en,delete,top,left,bottom,right,updated,power,title_dis
32,15,1,1,2,대지정령,Land2,0,6,3,4,1,2013-06-29 14:22:54,14,Earth spirit
33,26,1,1,3,대지상위정령,Land3,0,7,3,1,5,2013-08-09 7:06:59,16,Earth High Spirit
34,37,2,1,4,대지소환수,Land4,0,2,3,6,7,2013-08-09 7:39:45,18,Earth Summoner
35,48,2,1,5,대지군주,Land5,0,3,1,2,10,2013-08-09 7:51:30,16,Earthlord
36,59,3,2,6,대지대군주,Land6,0,7,5,8,2,2013-08-09 8:30:25,22,Great Earth Lord
37,70,4,2,7,록타,Land7,0,5,8,6,6,2013-08-09 8:56:16,25,Lokta
38,81,4,2,8,잉카누스,Land8,0,9,2,9,3,2013-08-10 3:27:24,23,Incanus
39,92,5,3,9,히말라야,Land9,0,8,5,3,10,2013-08-10 13:16:45,26,Himalayas
40,103,5,3,10,콜로서스,Land10,0,10,4,6,8,2013-08-10 13:24:37,28,Colossus
41,5,1,1,1,보병,Human1,0,2,5,1,3,2013-06-29 14:22:54,11,infantry
42,11,1,1,1,궁수,Human2,0,2,6,2,1,2013-06-29 14:22:54,11,Archer
43,16,1,1,2,정예병,Human3,0,3,3,5,4,2013-06-29 14:22:54,15,elite soldiers
44,27,1,1,3,암살자,Human4,0,7,3,5,1,2013-08-09 7:27:10,16,assassin
45,38,2,1,4,나이트,Human5,0,1,7,4,6,2013-08-09 7:40:18,18,knight
46,49,2,2,5,대장군,Human6,0,6,7,6,2,2013-08-09 7:52:15,21,Great General
47,60,3,2,6,골드나이트,Human7,0,1,3,8,8,2013-08-09 8:31:07,20,Gold Knight
48,71,4,2,7,로빈후드,Human8,0,8,3,7,8,2013-08-09 8:58:42,26,Robin Hood
49,82,4,3,8,헤라클래스,Human9,0,9,4,8,4,2013-08-10 3:28:01,25,Hercules
50,104,5,3,10,알렉산다르,Human10,0,9,2,10,6,2013-08-10 13:25:03,27,Aleksandar
51,6,1,1,1,좀비,Undead1,0,2,4,4,1,2013-06-29 14:22:54,11,zombi
52,17,1,1,2,악성좀비,Undead2,0,5,5,2,3,2013-08-09 6:36:34,15,malignant zombie
53,22,1,1,2,폭탄좀비,Undead3,0,5,3,5,2,2013-08-09 7:04:26,15,Bomb Zombie
54,28,1,1,3,시체거미,Undead4,0,5,3,3,6,2013-08-09 7:27:56,17,corpse spider
55,39,2,1,4,어보미네이션,Undead5,0,7,6,1,3,2013-08-09 7:40:34,17,Abomination
56,50,2,2,5,네크로멘서,Undead6,0,5,4,7,5,2013-08-09 7:52:57,21,Necromancer
57,61,3,2,6,가고일,Undead7,0,8,2,8,2,2013-08-09 8:48:06,20,Gargoyle
58,72,4,2,7,데쓰드래곤,Undead8,0,8,8,5,3,2013-08-09 8:58:51,24,Death Dragon
59,83,4,3,8,리치,Undead9,0,2,4,9,9,2013-08-10 3:29:55,24,Rich
60,105,5,3,10,데쓰나이트,Undead10,0,2,10,9,6,2013-08-10 13:25:15,27,Death Knight
61,9,1,1,1,엘프병사,Elf1,0,2,1,6,1,2013-06-29 14:22:54,10,Elf soldier
62,20,1,1,2,엘프궁수,Elf2,0,4,2,5,4,2013-08-09 7:03:10,15,Elf Archer
63,31,1,1,3,엘프마법사,Elf3,0,6,3,6,2,2013-08-09 7:32:53,17,Elf Wizard
64,33,1,1,3,엘프군주,Elf4,0,7,5,3,2,2013-08-09 7:34:26,17,Elf Lord
65,42,2,1,4,엘프대마법사,Elf5,0,6,3,7,2,2013-08-09 7:43:56,18,Elf Archmage
66,53,2,2,5,엘프소환사,Elf6,0,5,6,7,3,2013-08-09 7:55:05,21,Elf Summoner
67,64,3,2,6,흑마법사,Elf7,0,1,8,4,8,2013-08-09 8:50:54,21,Dark mage
68,75,4,2,7,피의마법사,Elf8,0,6,7,4,8,2013-08-09 9:00:44,25,Blood Mage
69,86,4,3,8,간달프,Elf9,0,8,2,6,9,2013-08-10 3:34:02,25,Gandalf
70,106,5,3,10,데몬헌터,Elf10,0,8,6,10,5,2013-08-10 13:25:59,29,Demon Hunter
71,10,1,1,1,호빗,Dwarf1,0,4,3,4,2,2013-06-29 14:22:54,13,The Hobbit
72,21,1,1,2,전투호빗,Dwarf2,0,3,7,1,2,2013-08-09 7:03:38,13,The Battle Hobbit
73,32,1,1,3,도둑호빗,Dwarf3,0,3,4,4,6,2013-08-09 7:33:56,17,Hobbit Thief
74,43,2,1,4,전투드워프,Dwarf4,0,4,6,5,5,2013-08-09 7:44:43,20,Battle Dwarf
75,44,2,1,4,골드드워프,Dwarf5,0,7,3,4,5,2013-08-09 7:48:14,19,Gold Dwarf
76,54,2,2,5,폭탄드워프,Dwarf6,0,4,4,7,8,2013-08-09 7:55:30,23,Bomb Dwarf
77,65,3,2,6,도끼드워프,Dwarf7,0,6,4,8,5,2013-08-09 8:51:32,23,Axe Dwarf
78,76,4,2,7,강철드워프,Dwarf8,0,1,7,7,8,2013-08-09 9:02:04,23,Iron Dwarf
79,87,4,3,8,스트로베리,Dwarf9,0,5,9,9,1,2013-08-10 3:35:34,24,Strawberry
80,107,5,3,10,아이언포지,Dwarf10,0,4,10,2,10,2013-08-10 13:26:24,26,Ironforge
81,8,1,1,1,늑대개,Monster1,0,3,1,2,5,2013-06-29 14:22:54,11,wolfdog
82,19,1,1,2,불황소,Monster2,0,5,2,5,2,2013-08-09 6:37:44,14,Recession
83,30,1,1,3,아나콘다,Monster3,0,4,2,7,4,2013-08-09 7:32:09,17,anaconda
84,41,2,1,4,독수리,Monster4,0,3,6,3,7,2013-08-09 7:43:03,19,eagle
85,52,2,1,5,호랑이,Monster5,0,7,4,7,2,2013-08-09 7:54:20,20,tiger
86,63,3,2,6,사자,Monster6,0,4,6,5,8,2013-08-09 8:49:49,23,lion
87,66,3,2,6,귀신호랑이,Monster7,0,7,1,8,5,2013-08-09 8:51:55,21,Ghost tiger
88,74,4,2,7,불곰,Monster8,0,5,5,8,7,2013-08-09 9:00:33,25,brown bear
89,85,4,3,8,메두사,Monster9,0,9,8,2,6,2013-08-10 3:33:03,25,medusa
90,96,5,3,9,유니콘,Monster10,0,7,10,7,2,2013-08-10 13:20:04,26,Unicorn
91,7,1,1,1,소형로봇A,Robot1,0,1,1,4,5,2013-06-29 14:22:54,11,Small robot A
92,18,1,1,2,시계로봇,Robot2,0,5,5,3,1,2013-08-09 6:37:13,14,Clock robot
93,29,1,1,3,대형로봇A,Robot3,0,5,4,2,6,2013-08-09 7:31:30,17,Large Robot A
94,40,2,1,4,자폭로봇,Robot4,0,7,4,4,4,2013-08-09 7:41:30,19,self-destructing robot
95,51,2,1,5,거대로봇,Robot5,0,7,2,4,7,2013-08-09 7:53:28,20,giant robot
96,55,2,2,5,공성전차로봇,Robot6,0,6,7,2,6,2013-08-09 7:56:16,21,Siege tank robot
97,62,3,2,6,하이페리온,Robot7,0,6,5,4,8,2013-08-09 8:48:40,23,Hyperion
98,73,4,2,7,아이언로봇,Robot8,0,8,4,5,8,2013-08-09 8:59:38,25,Iron Robot
99,84,4,3,8,골렘전차,Robot9,0,6,9,4,7,2013-08-10 3:31:57,26,Golem Tank
100,95,5,3,9,궁극의 병기,Robot10,0,9,2,4,10,2013-08-10 13:19:02,25,Ultimate weapon
101,77,4,2,7,새끼용,Dragon1,0,7,8,2,7,2013-08-09 9:02:29,24,baby dragon
102,88,4,2,8,비룡,Dragon2,0,9,9,2,5,2013-08-10 3:38:35,25,Flying Dragon
103,93,5,3,9,황천용,Dragon3,0,10,7,7,1,2013-08-10 13:17:24,25,Hwang Cheon-yong
104,94,5,3,9,전투용,Dragon4,0,7,10,6,4,2013-08-10 13:17:47,27,combat
105,97,5,3,9,창기룡,Dragon5,0,10,6,2,8,2013-08-10 13:20:51,26,Changgiryong
106,98,5,3,9,마법지룡,Dragon6,0,3,10,10,1,2013-08-10 13:21:36,24,Magic Earth Dragon
107,99,5,3,9,그린드래곤,Dragon7,0,4,10,9,4,2013-08-10 13:22:26,27,Green Dragon
108,108,5,3,10,레드드래곤,Dragon8,0,10,3,3,10,2013-08-10 13:27:00,26,Red Dragon
109,109,5,3,10,블루드래곤,Dragon9,0,6,4,10,9,2013-08-10 13:27:18,29,Blue Dragon
110,110,5,3,10,블랙드래곤,Dragon10,0,10,9,6,4,2013-08-10 13:28:06,29,Black Dragon
