게임명,게임유형,게임간단한소개,게임플레이링크
Stickman Hook,"레이싱 게임, 액션 게임",Stickman Hook은 스피디한 액션 스킬 게임! 갈고리(grappling hook)로 슝슝~ 스틱맨을 조종해 레벨을 통과하세요. 탄력을 받아 쭉쭉 나아가세요!,https://poki.com/kr/g/stickman-hook
Steal a Brainrot,"어드벤쳐 게임, 멀티플레이어 게임",Steal a Brainrot은 인기 멀티플레이어 액션 게임의 공식 브라우저 버전입니다. 다른 플레이어의 기지에 몰래 들어가 들키기 전에 Brainrot을 훔치세요. 만약 들키면 안전 지대로 달리세요!,https://poki.com/kr/g/steal-a-brainrot
Longcat,"두뇌 게임, 스킬 게임","Longcat은 고양이를 조종해 1900+ 레벨의 공간을 채우는 퍼즐 게임입니다. 막히지 않게, 딱 맞는 패턴으로 모든 칸을 채우세요! 실패하면 다시 시작!",https://poki.com/kr/g/longcat
Guns Guns Guns,"슈팅 게임, 총 게임","Guns Guns Guns는 전술적 군사 환경에 뛰어드는 슈팅 게임입니다. 전장에 발을 딛고, 현실적인 무기고에서 무기를 선택하여 분대와 함께 아레나 매치에서 상대를 제압하세요.",https://poki.com/kr/g/guns-guns-guns
Ragdoll Hit,"액션 게임, 랙돌 게임",Ragdoll Hit은 랙돌 스틱맨 격투 게임! 정신나간 무기로 1:1 또는 2:2 배틀! 미친 물리 효과 레벨에서 더욱 격렬하게 싸워 보세요!,https://poki.com/kr/g/ragdoll-hit
Soccer REAL,"운동 게임, 축구 게임","Soccer REAL은 현실적인 경기장 액션을 화면으로 선사하는 스포츠 게임입니다. 열린 팀원에게 패스하고, 전략적인 플레이를 펼치고, 골을 넣어 모든 토너먼트에서 승리하세요.",https://poki.com/kr/g/soccer-real
Subway Surfers,"액션 게임, 어드벤쳐 게임","Subway Surfers는 끝없이 달리는 런 게임! 기찻길 위에서 달려오는 기차와 장애물을 피하세요. 코인을 모아 새 캐릭터와 호버보드를 해금하고, 파워업으로 최대한 멀리 질주하세요!",https://poki.com/kr/g/subway-surfers
Master Chess,"두뇌 게임, 보드 게임","Master Chess는 온라인 클래식 보드 게임입니다. 친구와 2인 대전, 혼자 즐기기도 가능! 솔로 모드에서 쉬움 난이도로 전략을 연습하거나, 어려움 난이도로 그랜드마스터급 도전을 경험하세요.",https://poki.com/kr/g/master-chess
Perfect Shape,"스킬 게임, 달리기 게임","Perfect Shape은 정밀하게 윤곽선을 그리는 실력 게임입니다. 원, 사각형, 삼각형을 한 번에 그려내고, 즉시 정확도 점수를 확인하며, 시간이 지남에 따라 실력을 향상시키세요.",https://poki.com/kr/g/perfect-shape
Murder,"액션 게임, 어드벤쳐 게임","Murder는 왕 암살로 시작하는 코믹 어드벤처! 잡히면 던전행, 성공하면 다음 Murder 대상은 당신! 왕좌를 노리는 자들이 득실거릴 겁니다.",https://poki.com/kr/g/murder
Disaster Arena,"액션 게임, 어드벤쳐 게임","Disaster Arena는 코인과 트로피 쟁탈 멀티 어드벤처 게임! 엽기 미니게임 속 오징어 게임, 용암 피하기 obby 챌린지에 도전하세요!",https://poki.com/kr/g/disaster-arena
Slice Master,"두뇌 게임, 스킬 게임","Slice Master는 칼날 액션 게임! 과일, 햄버거 등 마구 베어 점수를 얻으세요! 보라색 스파이크는 피해야 합니다!",https://poki.com/kr/g/slice-master
Brain Test: Tricky Puzzles,"숨은 그림 찾기 게임, 마우스 게임",Brain Test Tricky Puzzles는 270+ 트릭 퀴즈로 뇌지컬 풀가동! 뻔한 답은 NO! 숨겨진 힌트를 찾아 창의력 풀파워로 도전하세요! (두뇌 게임),https://poki.com/kr/g/brain-test-tricky-puzzles
Stunt Bike Extreme,"레이싱 게임, 스킬 게임","Stunt Bike Extreme은 짜릿한 레이싱 게임! 시간 압박 속에서 묘기 코스를 질주하세요. 넘어지지 않고 최고 속도를 내면서 윌리, 플립 등 스턴트를 구사해 경험치를 획득하세요!",https://poki.com/kr/g/stunt-bike-extreme
Sushi Party,"뱀 게임, 동물 게임","Sushi Party는 스시를 먹는 io 스네이크 게임이에요. 스시를 많이 먹을수록 몸이 커지지만 다른 플레이어들을 조심해야 해요! 부딪히면 죽고, 먹었던 음식을 모두 떨어뜨려 다른 플레이어의 먹이가 된답니다.",https://poki.com/kr/g/sushi-party-io
Drive Mad,"레이싱 게임, 멀티플레이어 게임","Drive Mad는 물리 엔진 기반 자동차 게임입니다. 난이도가 높아지는 레벨에서 컨트롤 실력을 시험하세요! 간단한 점프부터 무중력 구간까지, 스피드보단 안정적인 주행이 중요합니다.",https://poki.com/kr/g/drive-mad
Temple Run 2,"액션 게임, 어드벤쳐 게임","Temple Run 2는 고대 유적을 질주하는 런게임! 함정과 장애물을 피하고 코인을 모아 능력을 강화, 더 멀리 달려보세요!",https://poki.com/kr/g/temple-run-2
Escape From School,"액션 게임, 어드벤쳐 게임","Escape From School은 액션 게임! 선생님 눈을 피해 교실 탈출! 퍼즐 풀고, 교직원 피하고, 숨겨진 물건 찾아 한 방씩 학교에서 탈출하세요!",https://poki.com/kr/g/escape-from-school
Count War,"스킬 게임, 슈팅 게임","Count War는 스틱맨 전사를 모아 대규모 군중을 만드는 실력 게임입니다. 최적의 문을 통과해 병력을 늘리고, 무기를 획득하여 좀비 무리를 날려버리세요.",https://poki.com/kr/g/count-war
Party Time,"액션 게임, 플랫폼 게임","신나는 Party Time은 멀티 플랫폼 게임! 8가지 obby 모드를 즐겨봐요. 쉬운 모드부터, 다른 유저가 던지는 물건에 정신 놓고 트롤 당하는 하드 모드까지!",https://poki.com/kr/g/party-time
Punchy Guy,"액션 게임, 마우스 게임","Punchy Guy는 플레이어를 아레나 싸움에 몰아넣는 격투 게임입니다. 다가오는 공격을 피하고, 잽을 맞춰, 래그돌 물리로 어설픈 도전자들을 쓰러뜨리세요. 주먹을 뻗어 적들을 날려버리세요.",https://poki.com/kr/g/punchy-guy
Blacktop Police Chase,"레이싱 게임, 멀티플레이어 게임","Blacktop Police Chase는 강도를 태워 안전 가옥에 내려주고 돈을 버는 드라이빙 액션 게임입니다. 경찰을 따돌리고, 현금을 모아 더 빠른 차나 강력한 트럭을 잠금 해제하세요!",https://poki.com/kr/g/blacktop-police-chase
Family Life Simulator,어드벤쳐 게임,"Family Life Simulator는 가정을 꾸려나가는 시뮬레이션 게임입니다. 가족 구성원을 위해 결정하고, 일상을 관리하며, 평화로운 삶을 함께 만들어가세요.",https://poki.com/kr/g/family-life-simulator
Petnest.io,"동물 게임, 멀티플레이어 게임","Petnest.io는 귀여운 동물들을 위한 보호소를 짓는 시뮬레이션 게임입니다. 반려동물을 돌보고, 아늑한 서식지를 디자인하며, 나만의 보호소를 성장시켜 보세요.",https://poki.com/kr/g/petnest-io
Cuboy Adventure,"스킬 게임, 플랫폼 게임","Cuboy Adventure는 귀여운 블록 영웅이 큰 모험을 떠나는 플랫포머 게임입니다. 가시를 뛰어넘고, 상자 퍼즐을 풀고, 유용한 이동 능력을 얻고, 거대한 보스를 물리쳐 모든 별을 모으세요.",https://poki.com/kr/g/cuboy-adventure
Bubble Storm,"스킬 게임, 퍼즐 게임","Bubble Storm은 화면에서 즐기는 고전 버블 슈팅 실력 게임입니다. 세 개 이상의 같은 색 버블을 맞춰 보드를 비우고, 특수 능력을 활용해 퍼즐을 클리어하세요.",https://poki.com/kr/g/bubble-storm
Kick The Buddy,랙돌 게임,"Kick The Buddy는 장난기 넘치는 액션으로 가득한 인터랙티브 슈팅 게임입니다. 강력한 래그돌에게 다양한 아이템을 쏘고, 던지고, 실험해보세요. 새로운 도구를 사용하고 버디가 어떻게 반응하는지 확인하세요!",https://poki.com/kr/g/kick-the-buddy
Count Control Legends,"두뇌 게임, 스킬 게임","Count Control Legends는 수학 실력을 겨루는 스킬 게임입니다! 막대 인간 부대를 지휘해 레벨을 돌파하세요. 숫자를 늘리거나 줄이는 관문을 통과하고, 장애물을 피하며 전진하세요!",https://poki.com/kr/g/count-control-legends
Repuls.io,"액션 게임, 멀티플레이어 게임","Repuls.io는 온라인 유저들과 격돌하는 슈팅 io 게임입니다! 샷건, 저격총 등 다양한 총기 중 나만의 스타일을 찾아 팀전 또는 솔로 플레이로 XP를 쌓고 레벨 업하세요!",https://poki.com/kr/g/repuls-io
Shenzhen Mahjong,"두뇌 게임, 마작 게임",Shenzhen Mahjong은 고전 타일 매칭에 재미있는 변형을 더한 두뇌 게임입니다. 귀여운 동물 타일을 상하좌우로 밀어 같은 쌍을 맞춰 정렬하세요. 시간이 다 떨어지기 전에 보드를 클리어하세요.,https://poki.com/kr/g/shenzhen-mahjong
Beauty Salon,"옷입히기 게임, 뷰티 게임","Beauty Salon은 드레스업 게임! 불쌍한 소녀를 확 바꿔주세요. 머리 감겨주고, 피부 관리도 해주고, 맘에 드는 화장품으로 풀 메이크업! 마지막으로, 예쁜 옷이랑 액세서리까지 싹 골라주면 끝!",https://poki.com/kr/g/beauty-salon
Super Dress,"옷입히기 게임, 패션 게임","Super Dress는 패션 스타일링 뷰티 게임입니다. 트렌디한 의상, 메이크업, 헤어스타일로 모델을 멋진 패션 이벤트에 맞게 변신시키세요.",https://poki.com/kr/g/super-dress
Karate Fighter,"액션 게임, 스킬 게임","Karate Fighter는 무술 액션을 경기장으로 바로 가져오는 격투 게임입니다. 숙련된 상대와 맞서고, 선호하는 전투 스타일을 선택하며, 정확한 공격으로 현실적인 경기에서 승리하세요.",https://poki.com/kr/g/karate-fighter
Planet Destruction,"마우스 게임, 시뮬레이션 게임","Planet Destruction은 행성 파괴 시뮬레이션 게임입니다! 레이저, 로켓, 우주선, 심지어 외계 몬스터까지 동원해 행성을 날려버리세요. 더 많이 파괴하고 강력한 무기를 잠금 해제하세요!",https://poki.com/kr/g/planet-destruction
You Monster!,"액션 게임, 어드벤쳐 게임","You Monster!는 혼돈과 파괴가 충돌하는 액션 게임입니다. 거대 괴수를 조종해 도시를 짓밟고, 좀비를 먹어치워 몸집을 키우며, 건물과 차량을 산산조각 내세요.",https://poki.com/kr/g/you-monster
SatisBox Mini Games,"두뇌 게임, 퍼즐 게임","SatisBox는 정리정돈으로 평화를 선사하는 두뇌 게임입니다. 어지러운 물건을 정리하고, 용기를 채우며, 혼돈의 공간을 정돈하세요. 모든 것을 제자리에 놓는 고요한 만족감을 느껴보세요.",https://poki.com/kr/g/satisbox-mini-games
Soccer Skills 2 World Cup,"운동 게임, 축구 게임","Soccer Skills 2 World Cup은 몰입감 넘치는 스포츠 게임입니다. 실감나는 3D 축구 토너먼트 경험을 선사하며, 좋아하는 국가대표팀을 이끌고 8강부터 영광까지 현실적인 온라인 경기에서 승리하세요.",https://poki.com/kr/g/soccer-skills-2-world-cup
Dino Simulator,"동물 게임, 시뮬레이션 게임","Dino Simulator는 선사시대 공룡으로 살아가는 시뮬레이션 게임입니다. 고대 땅을 자유롭게 돌아다니며, 생존을 위해 먹이와 물을 찾고, 다른 거대 포식자로부터 가족을 보호하세요.",https://poki.com/kr/g/dino-simulator
Tear Blocks Down,"액션 게임, 좀비 게임",Tear Blocks Down은 물리 엔진 기반 슈팅 게임입니다. 구조물을 짓고 다양한 캐릭터를 소환하여 블록 파괴 전투를 지켜보며 혼돈을 일으키세요. 목표물을 조준하여 파괴하세요.,https://poki.com/kr/g/tear-blocks-down
Red Ball 4,"액션 게임, 어드벤쳐 게임","Red Ball 4는 공을 굴리는 액션 플랫포머 게임! 70개 레벨에서 별을 모으고, 속도를 활용해 퍼즐을 풀어보세요. 몬스터 큐브를 조심! 공격하기 전에 먼저 해치우세요.",https://poki.com/kr/g/red-ball-4
Tank Stars,"액션 게임, 전쟁 게임","Tank Stars는 정밀함이 승패를 가르는 실력 게임입니다. 전차를 조준하고, 정확한 각도를 찾아 로켓을 발사하여 적의 반격 전에 파괴하세요.",https://poki.com/kr/g/tank-stars
Magic Battleground,"액션 게임, 랙돌 게임","Magic Battleground은 신비로운 경기장에서 래그돌 전사를 조종하는 격투 게임. 원소 마법을 시전하고, 공격을 피하며, 라이벌을 경기장 밖으로 날려 이 혼돈의 대결에서 승리하세요.",https://poki.com/kr/g/magic-battleground
Blast Buddies,"액션 게임, 멀티플레이어 게임","Blast Buddies는 친구와 팀을 이루거나 전 세계 플레이어와 대결하는 슈팅 게임입니다. 경기장에 입장하여 상대를 날려버리고, 각 라운드에서 승리하기 위해 협력하세요. 무기를 선택하고 승리를 쟁취하세요.",https://poki.com/kr/g/blast-buddies
Sword Masters,"어드벤쳐 게임, 스킬 게임","Sword Masters는 전설의 검사가 되어 모험하는 io 게임입니다. 마을 퀘스트로 돈을 벌고, 몬스터를 잡아 강력한 장비로 더 강한 적에게 도전하세요!",https://poki.com/kr/g/sword-masters
Sprint League,"레이싱 게임, 운동 게임","Sprint League는 io 어드벤처 게임입니다. 러너 훈련으로 스태미나를 키우고, 레이스에서 최고 기록을 깨세요! 잘 달릴수록 업글 자금 획득!",https://poki.com/kr/g/sprint-league
Real City Bikes,"레이싱 게임, 오토바이 게임","Real City Bikes는 플레이어들이 도시 거리를 질주하는 드라이빙 샌드박스 게임입니다. 멋진 스턴트를 선보이고, 혼잡한 교통 속을 누비며, 라이딩을 위해 만들어진 오픈 도시 놀이터에서 오토바이 실력을 뽐내세요.",https://poki.com/kr/g/real-city-bikes
Hills of Steel,"어드벤쳐 게임, 전쟁 게임","Hills of Steel은 탱크, 거대 로봇 같은 장비로 적 탱크를 부수는 핵잼 액션 게임! 지뢰, 로켓 공격 등 스킬로 적을 시원하게 날려 버리세요!",https://poki.com/kr/g/hills-of-steel
Rail in the Air,"시뮬레이션 게임, 운전 게임",Rail in the Air는 하늘 높이 기차 기관사 자리에 앉는 운전 게임입니다. 선로가 점점 더 험난해지고 위험해지므로 속도를 신중하게 제어하세요. 모든 급커브는 타이밍과 기술의 시험이 될 것입니다.,https://poki.com/kr/g/rail-in-the-air
Monkey Mart,"쇼핑 게임, 동물 게임","Monkey Mart는 나만의 마트를 키우는 경영 게임! 농작물 재배, 동물 관리, 상품 진열, 마트 업글은 기본! 원숭이 직원 고용, 새로운 마트 오픈까지, 할 게 넘쳐나요!",https://poki.com/kr/g/monkey-mart
Carnado Stunt Car,"레이싱 게임, 자동차 게임","Carnado Stunt Car는 도시가 나만의 놀이터가 되는 오픈 월드 드라이빙 게임입니다. 거대한 램프 가득한 넓은 맵을 질주하고, 플립을 선보이며, 고속 스턴트 트랙에서 실력을 뽐내세요.",https://poki.com/kr/g/carnado-stunt-car
Diva Hair Salon,"장식 게임, 옷입히기 게임",Diva Hair Salon은 머리 스타일링을 맘대로 하는 꾸미기 게임! 개성 넘치는 헤어 디자인에 메이크업과 액세서리로 화려하게 변신시켜 보세요!,https://poki.com/kr/g/diva-hair-salon
Scary Teacher Hide & Seek Games,어드벤쳐 게임,"Scary Teacher Hide & Seek Games는 무서운 선생님을 피해 도망치는 탈출 게임입니다. 옷장 속에 숨고, 조용한 방을 몰래 지나, 핵심 아이템을 모아 잡히기 전에 탈출하세요.",https://poki.com/kr/g/scary-teacher-hide-seek-games
Supercar Legends,"마우스 게임, 자동차 게임","Supercar Legends는 수학 트랙에서 고급 차량을 운전하는 실력 게임입니다. 올바른 게이트를 통과해 점수를 높이고, 고급차를 업그레이드하며, 전략적 경로로 기록을 세우세요.",https://poki.com/kr/g/supercar-legends
Nails DIY: Manicure Master,"옷입히기 게임, 뷰티 게임","Nails DIY Manicure Master: 나만의 네일 아트를 뽐낼 수 있는 뷰티 게임! 원하는 손톱 길이와 스티커, 컬러를 골라 개성 넘치는 디자인을 완성하세요. 예쁜 반지와 함께 인생샷 도전!",https://poki.com/kr/g/nails-diy-manicure-master
Ping Pong Go!,"스킬 게임, 마우스 게임","Ping Pong Go!는 짜릿한 탁구 게임! 클래식 모드는 기본, 벌레 퇴치 챌린지부터 온라인 친구 대전까지, 다채롭게 즐겨봐!",https://poki.com/kr/g/ping-pong-go
Color Artist,"장식 게임, 그리기 게임","Color Artist는 픽셀 아트 색칠 게임! 동물, 음식 등 200+가지 그림을 칠해보세요. 고난도 아트에 도전!",https://poki.com/kr/g/color-artist
Going Up Rooftop,"어드벤쳐 게임, 플랫폼 게임","Going Up Rooftop은 파쿠르 기술을 하늘로 가져가는 어드벤처 게임입니다. 건물을 뛰어넘고, 높은 난간을 넘고, 옥상을 질주하세요. 떨어지지 않도록 점프 타이밍을 신중히 맞추고 모든 스테이지를 클리어하세요.",https://poki.com/kr/g/going-up-rooftop
Stickman Dragon Fight,"액션 게임, 어드벤쳐 게임","Stickman Dragon Fight는 애니풍 격투 게임입니다! 80종 영웅으로 공격, 방어, 필살기를! 영웅마다 능력치가 다르니 스타일에 맞춰 선택하세요!",https://poki.com/kr/g/stickman-dragon-fight
Dog's Life,"동물 게임, 멀티플레이어 게임",Dog's Life는 장난꾸러기 강아지가 되어 즐기는 시뮬레이션 게임입니다. 집안을 누비며 뼈를 모으고 물건과 상호작용하며 반려 동물의 일상을 경험하세요.,https://poki.com/kr/g/dogs-life
Anycolor,"스킬 게임, 장식 게임","신나는 그림 색칠 시뮬레이션 게임, Anycolor! 동물, 호러, 만화 등 취향따라 골라 색칠하며 힐링하세요. 다채로운 컬러링 옵션이 가득!",https://poki.com/kr/g/anycolor
Scary Teacher 3D,"액션 게임, 두뇌 게임","Scary Teacher 3D는 짓궂은 장난을 치는 시뮬레이션 게임! 몰래 선생님 집에 잠입해서 들키지 말고, 시리얼에 소금 뿌리고 쥐덫 놓고 TV를 망가뜨려 골탕 먹여주세요!",https://poki.com/kr/g/scary-teacher-3d
Penalty Shooters 2,"운동 게임, 스킬 게임","국가대표팀을 선택하고 승부차기 토너먼트에서 싸워 트로피를 차지하세요! 골대 구석을 노리고, 골키퍼의 움직임을 읽고, 침착함을 유지하세요. 단 한 번의 실수로 모든 것이 끝날 수 있습니다.",https://poki.com/kr/g/penalty-shooters-2
Boomy World,"액션 게임, 두뇌 게임",Boomy World는 전략적 폭발물 배치로 다채로운 스테이지를 클리어하는 퍼즐 게임입니다. 수를 계획하고 연쇄 반응을 일으켜 보드를 정리하며 레벨을 돌파하세요.,https://poki.com/kr/g/boomy-world
SnapStyle Dress Up,"옷입히기 게임, 패션 게임","Snapstyle Dress Up은(는) 내 캐릭터를 마음껏 꾸미는 스타일링 게임! 헤어, 메이크업, 의상, 액세서리로 개성을 표현하고, 멋진 사진을 찍어 꾸며봐!",https://poki.com/kr/g/snapstyle-dress-up
Fashion Legends,"옷입히기 게임, 메이크업 게임",Fashion Legends는 런웨이 감각을 뽐내는 스타일리시한 뷰티 게임입니다. 캣워크를 걸으며 멋진 의상을 수집하세요. 각 테마에 맞는 스타일을 선택하여 패션 세계를 지배하세요.,https://poki.com/kr/g/fashion-legends
Vortella's Dress Up,"옷입히기 게임, 마우스 게임","Vortella's Dress Up은 꿀잼 스타일링 게임! 옷, 메이크업, 헤어, 액세서리로 나만의 캐릭터를 꾸미고 패션쇼에서 다른 유저들과 스타일 대결을 펼쳐봐!",https://poki.com/kr/g/vortellas-dress-up
MR RACER - Car Racing,"액션 게임, 스킬 게임","MR RACER - Car Racing은 짜릿한 레이싱 게임! 복잡한 도로를 질주하며 추월하고, 시간/다른 레이서와 경쟁하세요. 6가지 모드 플레이, 레벨업으로 새 차를 언락/업글!",https://poki.com/kr/g/mr-racer-car-racing
School Cleaning,"마우스 게임, 자동차 게임","School Cleaning은 지저분한 교실과 복도를 정리하는 조용한 시뮬레이션입니다. 먼지를 닦고, 고장난 물건을 고치며, 질서를 되찾는 평온함을 즐기세요. 오늘 어지러운 공간을 깔끔한 환경으로 바꾸세요.",https://poki.com/kr/g/school-cleaning
Hill Climb Racing Lite,"레이싱 게임, 스킬 게임",Hill Climb Racing Lite는 험준한 언덕길을 달리는 드라이빙 게임입니다. 완급 조절이 관건! 방심하면 차가 뒤집혀 바로 게임 오버됩니다.,https://poki.com/kr/g/hill-climb-racing-lite
Stickman Crazy Box,"액션 게임, 스킬 게임",Stickman Crazy Box는 20가지 미니게임을 즐기는 실력 게임입니다. 빠른 플레이 또는 토너먼트 모드로 실력을 시험하세요. 최대 3명의 친구와 로컬에서 함께 즐겨보세요.,https://poki.com/kr/g/stickman-crazy-box
Goods Master,"두뇌 게임, 퍼즐 게임","Goods Master는 복잡한 선반 정리 퍼즐 게임입니다. 같은 상품을 교환해 모으고 공간을 확보하여, 수많은 레벨의 지저분한 매장을 정돈하세요.",https://poki.com/kr/g/goods-master
Hexellent,"두뇌 게임, 마우스 게임",Hexellent는 육각 블록을 매칭해 터뜨리는 퍼즐 게임입니다. 콤보를 노려 한 번에 블록을 제거하세요!,https://poki.com/kr/g/hexellent
Harvest Simulator,"시뮬레이션 게임, 농장 게임","Harvest Simulator는 콤바인 시뮬레이션 게임입니다! 해바라기, 밀 수확으로 돈 벌고 장비 업! 밭에 멋대로 그림도 그릴 수 있습니다!",https://poki.com/kr/g/harvest-simulator
Car Circle,"두뇌 게임, 스킬 게임","Car Circle은 바쁜 로터리에 차량을 합류시키는 타이밍 실력 게임입니다. 탭하여 충돌 없이 루프에 진입시키고, 진입 지점을 계획해 교통 흐름을 원활하게 유지하세요.",https://poki.com/kr/g/car-circle
Phone CASE DIY,"장식 게임, 그리기 게임","Phone CASE DIY는 창의적인 휴대폰 케이스 꾸미기 게임입니다. 표면을 닦고, 예쁜 색상을 골라 아크릴 아트를 적용하고, 귀여운 이모티콘으로 나만의 액세서리를 디자인하세요.",https://poki.com/kr/g/phone-case-diy
Soccer League,"운동 게임, 스킬 게임","Soccer League는 화면에서 3대3 축구 경기를 즐기는 액션 스포츠 게임입니다. 상대를 제치고, 팀원과 패스를 조율하여 골망을 흔들어 챔피언십에서 우승하세요.",https://poki.com/kr/g/soccer-league
Capitalist Bus Driver,"시뮬레이션 게임, 버스 게임","Capitalist Bus Driver는 대중교통 사업 운영 시뮬레이션 게임입니다. 거리에서 승객을 태워 해변 리조트까지 안전하게 운전하고, 수익을 재투자하여 해안 제국을 확장하세요.",https://poki.com/kr/g/capitalist-bus-driver
