₩,항목,발견된 이슈 및 현상,AI 개발 프롬프트,우선순위,완료여부
15,PVP 매치메이킹 대기열 취소 지연 및 기권(Surrender) 확인 팝업 부재,"매칭 검색 취소 클릭 시 반응 지연으로 의도치 않은 대전 진입 발생, 대전 중 기권 버튼 클릭 시 확인 모달 없이 즉시 패배 처리됨.",Refactor the PVP Matchmaking & Battle Surrender flow. 1) Disable matchmaking search immediately upon 'Cancel' button click and show a loading spinner until socket disconnection completes. 2) Wrap the in-battle Surrender button with a confirmation modal asking 'Are you sure you want to forfeit this match? (Result: Loss)' before triggering match surrender.,높음,
16,음향(BGM/SFX) 설정 값 LocalStorage 미저장 및 재접속 시 설정 초기화,설정 모달에서 BGM/SFX 음소거 및 볼륨 조절 후 페이지 새로고침 시 설정이 유지되지 않고 초기화됨.,"Implement persistent audio settings in local storage. Create an `audioSettingsStore` using Pinia/Vuex or custom hooks that automatically saves volume slider states and mute toggles to `localStorage.setItem('snshero_audio_settings')`, and restores these preferences upon app startup before initializing audio contexts.",중간,
17,프로필 닉네임 변경 화면의 실시간 글자수 및 특수문자 유효성 검증 부족,프로필 닉네임 변경 시 글자수 카운터 및 특수문자 제한 실시간 검증이 제공되지 않아 제출 실패 후에야 에러 파악 가능.,"Add real-time form validation to the Profile Nickname Edit Modal. Display a live character counter (e.g., 5/12), highlight disallowed special characters/spaces in red in real-time, and disable the 'Save Changes' button until a valid nickname string is entered.",낮음,
18,전투 화면 내 속성 상성표(Element Advantage) 퀵 참조 팝오버 부재,전투 중 수>화>지>풍>수 속성 상성 관계 및 캡처 판정 가중치를 인게임에서 바로 확인할 수 있는 상성 가이드 버튼/팝오버가 없어 신규 유저 적응에 어려움 발생.,"Add an Element Advantage Quick Reference popover button to the active battle HUD. When tapped, open a translucent overlay displaying the element circle diagram (Water > Fire > Earth > Wind > Water) with clear bonus percentage/value text (e.g., 'Advantage: +2 Top/Left/Bottom/Right power during capture check').",높음,
19,웹툰 에피소드 뷰어 내 다음/이전 화 이동 버튼 및 읽기 진행률 저장 부족,"스토리 모드 웹툰 감상 시 다음 화 이동 버튼이 없어 매번 모달을 닫고 나가야 하며, 마지막 읽은 스크롤 위치가 저장되지 않음.",Enhance the Webtoon Viewer modal (`WebtoonModal.vue`). 1) Add sticky 'Previous Episode' and 'Next Episode' navigation buttons at the bottom of the scroll container. 2) Save user scroll progress and last viewed episode ID to user state/local storage so resuming the webtoon re-opens at the last read position.,중간,
20,전투 턴 히스토리(Battle Action Log) 및 직전 턴 기록 안내 부재,상대방/AI 턴 연출 후 어떤 카드가 어느 슬롯에 배치되고 어떤 수치 계산으로 카드가 뒤집혔는지 확인할 수 있는 턴 액션 로그 뷰가 없음.,"Create a Battle Turn History drawer component. Maintain an array of turn logs in the battle store (e.g., 'Turn 3: AI placed Ignis at Slot (1,2) -> Flipped Aquaris via Fire vs Water check'). Add a 'Battle Log' icon to the battle UI that toggles a slide-out log panel listing all moves made in the current match.",중간,
21,친구 목록 내 친선전(Friendly Match) 1v1 초대 UI 부재,소셜 탭에서 친구의 온/오프라인 상태가 명확하지 않고 1v1 친선 대전을 직접 신청하는 기능이 없어 유저 간 상호작용 제한.,"Implement the Friendly Match Challenge feature in the Social/Friends list component. Add online/offline status indicators for each friend, and add a 'Challenge' (친선전 신청) button that sends a real-time WebSocket invite popup to the online friend with a 30-second timeout.",중간,
22,패배 화면 내 '덱 수정(Edit Deck)' 및 '재도전(Rematch)' 퀵 액션 버튼 부재,전투 패배 후 로비 이탈 버튼만 존재하여 실패한 덱의 카드를 교체하거나 동일 스테이지를 바로 재도전하려면 복잡한 화면 이동이 필요함.,Add 'Quick Rematch' (재도전) and 'Edit Deck' (덱 수정) action buttons to the Battle Defeat Result component. Clicking 'Edit Deck' should open a modal overlay over the defeat screen allowing the player to swap cards in their active deck before instantly retrying the stage.,높음,
23,단일 속성(Mono-Element) 덱 시너지 보너스 가시성 및 실시간 프리뷰 부재,덱 구성 시 동일 속성 카드 다수 배치에 따른 시너지 보너스 효과 및 실시간 적용 수치가 덱 빌딩 UI에 표시되지 않음.,"Implement a Deck Synergy Preview widget on the My Deck editing view (`DeckBuilder.vue`). Calculate active element synergies in real-time based on selected 5 cards (e.g., '3 Water Cards: +5% Defense Synergy Active') and display a glowing synergy badge above the active deck slots.",중간,
24,카드 이미지 로딩 시 스켈레톤 로더(Skeleton Loader) 및 미리 프리로드 부재,대전 시작 또는 상점 진입 시 카드 고해상도 리소스 로딩 지연으로 레이아웃 덜컹거림 및 이미지 노출 지연 발생.,"Implement image preloading and skeleton loaders for all card components (`CardTile.vue`). Render a sleek animated skeleton placeholder matching card dimensions while loading remote image assets, and cache loaded card sprite images in memory.",중간,
25,Web3 지갑(SUI Wallet) 세션 만료 시 자동 재연결 안내 모달 부재,연동된 지갑 세션 만료 시 트랜잭션 요청이 명확한 안내 없이 실패하여 유저가 원인을 파악하기 어려움.,"Add a Wallet Session Re-authentication Interceptor. Catch wallet RPC error code 4100/unauthorized during transaction execution, pause the transaction, and prompt the user with a 'Wallet Session Expired. Reconnect Wallet?' modal instead of throwing an unhandled JS error.",중간,
26,전투 중 턴 타이머(Turn Countdown) 시각적 진행바 및 타임아웃 경고 부재,턴 제한시간 카운트다운의 시각적 프로그래스 바 및 타임아웃 직전 경고 연출(플래시/효과음)이 없어 턴을 놓치고 강제 스킵되는 인지 문제 발생.,"Create a visual Turn Countdown Progress Bar for the active player's turn (`BattleTimer.vue`). Render a shrinking horizontal bar or radial timer, and trigger a pulsing red glow with a tick audio warning when less than 5 seconds remain before auto-ending the turn.",높음,
27,카드 레벨업/EXP 재료 선택 시 '일반 재료 일괄 선택' 및 레벨 상승 프리뷰 부재,"카드 강화 시 재료 카드를 개별 탭해야 하여 강화 과정이 매우 번거로우며, 합성 전 최종 달성 레벨 및 수치 상승 사전 프리뷰가 없음.","Add a 'Select Common Materials' (일반 재료 일괄 선택) filter button to the Card Level-Up view. When clicked, auto-select all N/R rarity fodder cards from inventory, and update a real-time EXP Progress Preview bar showing current LV -> target LV and stat gains before confirmation.",중간,
28,시즌 랭킹/리더보드 내 시즌 종료 카운트다운 및 티어 보상 미리보기 모달 부재,랭킹 화면에서 현재 시즌 남은 시간 카운트다운과 각 티어 달성 시 지급될 시즌 종료 보상 명세 안내가 부족하여 랭크전 동기부여 약화.,"Enhance the Season Leaderboard component. Display a live 'Season Ends In: X days Y hours' countdown timer banner at the top, and add a 'Rank Rewards' (시즌 보상) modal detailing token, card pack, and badge payouts for each rank tier.",중간,
29,인게임 우편함(Mailbox) '첨부재화 일괄 수령' 및 '읽은 우편 정리' 기능 부재,수신함 내 보상 우편 개별 수령만 지원되고 수령이 끝난 읽은 우편 일괄 삭제 기능이 없어 우편함 관리가 불편함.,Add 'Batch Claim' (일괄 수령) and 'Delete Read Mail' (읽은 우편 삭제) action controls to the In-Game Mailbox component. Allow users to claim all attached items in a single request and clear read system notifications with one click.,낮음,
30,전투 승리 화면 카드 경험치(EXP) 상승 게이지 애니메이션 및 레벨업 연출 부재,승리 연출 결과 화면에서 참전 카드 5장의 경험치 차오름 프로그래스 바 및 레벨업 이펙트가 없어 카드 성장의 시각적 체감이 부족함.,"Add a Card EXP Progress Animation widget to the Battle Victory screen. Render EXP fill bars for all 5 participating cards, animate the fill percentage from current to new EXP, and play a shining 'Level Up!' badge animation over cards that leveled up during the match.",중간,
31,마이덱 멀티 덱 프리셋(Deck 1/2/3) 저장 및 대표 덱 지정 기능 부재,"단 1개의 덱 구성만 지원되어 PVE 스토리용, PVP 대전용, 속성 특화용 덱을 사전에 프리셋으로 저장하고 전환하는 기능이 없음.","Implement a Multi-Deck Preset Switcher component in `DeckBuilder.vue`. Allow users to save up to 3 distinct deck configurations (Deck 1, Deck 2, Deck 3) with tab navigation, and provide a 'Set as Main Deck' toggle for PVP and Story modes.",높음,
32,중복/불필요 카드 분해(Scrap/Disassemble) 및 환급 시스템 UI 부재,인벤토리에 쌓이는 저등급 중복 카드를 분해하여 재화(골드/토큰/조각)로 환급하는 기능이 없어 카드 인벤토리 관리가 비효율적임.,"Create a Card Disassemble/Scrap Modal component (`CardDisassembleModal.vue`). Allow players to select duplicate or unwanted cards, preview total dismantled token/gold returns, and confirm batch dismantling with a confirmation alert.",중간,
33,메인 로비 이벤트 배너 모바일 터치 스와이프 미지원 및 일시정지 제어 부족,메인 로비 공지 배너에서 터치 스와이프 동작이 원활하지 않고 배너 터치 시 자동 슬라이드 일시정지가 되지 않아 오터치가 발생함.,Integrate touch swipe gesture handling and auto-play pause-on-hover/touch controls into the Main Lobby Banner Carousel component. Ensure users can drag/swipe left/right between event slides smoothly on mobile screens.,낮음,
34,대전 중 이모티콘/퀵 챗(Emote) 및 상대방 음소거(Mute) 기능 부재,"전투 중 이모티콘/감정표현 퀵챗 기능이 없으며, 비매너 상대의 연속 이모티콘 도배를 차단할 수 있는 음소거 버튼이 없음.","Implement an In-Battle Emote & Quick Chat popover component (`BattleEmotes.vue`). Allow players to tap a speech bubble icon on their avatar to send animated stickers/emotes during matches, and add a 'Mute Opponent' toggle icon next to the enemy profile card.",중간,
35,최근 전적 기록(Match History) 및 덱 구성 확인 모달 부재,"프로필/대전 메뉴에서 최근 10경기의 승패 기록, 사용했던 덱 조합, 상대 정보 및 점수 변화를 다시 조회할 수 있는 전적 모달이 없음.","Create a Match History View/Modal component (`MatchHistoryModal.vue`). Fetch the player's last 10 battle logs, display win/loss result badges, match timestamp, opponent's username, final score, and a 'View Deck' button to inspect the deck used in that specific match.",중간,
36,주력/고희귀도 카드 실수 소비 방지용 '카드 잠금(Card Lock)' 보호 기능 부재,주요 고희귀도(SSR/SR) 카드가 레벨업 재료나 카드 분해/환급 시 실수로 소모되거나 차출되는 것을 방지하는 카드 잠금 토글 기능이 없음.,"Add a Card Lock/Favorite toggle feature to the Card Detail view. When a card is marked as Locked (a padlock icon is toggled on), exclude it from the material selection lists in Card Level-Up, Skill Upgrade, and Card Disassemble components.",높음,
37,모바일 절전 모드(Battery Saver Mode) 및 프레임(30/60 FPS) 설정 부재,모바일 기기 플레이 시 발열 및 배터리 소모를 줄일 수 있는 그래픽 옵션 및 30/60 FPS 프레임 조절 기능이 설정 모달에 없음.,"Add a Frame Rate & Battery Saver toggle setting to the Game Settings modal. Allow users to switch between 'Performance (60 FPS)' and 'Battery Saver (30 FPS / Reduced Particle Effects)', adjusting requestAnimationFrame/canvas render throttling accordingly.",낮음,
38,전투 중 카드 수치 변동(버프/디버프) 시각적 텍스트 이펙트 연출 부재,"지형 효과나 스킬에 의해 카드 수치가 변동될 때 (+2, -1 등) 플로팅 텍스트 애니메이션 및 색상 하이라이트(초록/빨강) 연출이 없어 능력치 변동 파악이 어려움.","Add Floating Stat Change Text FX (`StatModifierFX.vue`) to card tiles on the battle grid. When a tile modifier or skill node alters a card's top/left/bottom/right numeric values, play a brief floating '+2' in green or '-1' in red above the affected directional arrow before updating the base value text.",높음,
39,메인 로비 일일 무료 보상 수령 가능 알림 레드 닷(Red Dot) 부재,상점 및 퀘스트 탭에서 매일 1회 무료 수령 가능한 보상이 지급되었을 때 로비 아이콘 상에 레드 닷 알림이 표기되지 않아 무료 보상을 놓치는 경우가 발생함.,"Implement a Global Red-Dot Notification Badge Store using Pinia/Vuex. Automatically calculate claimable daily free gifts and quest rewards, rendering a red pulsing notification dot on the Shop and Quest tab icons whenever unclaimed daily rewards exist.",중간,
40,스토리 모드 대화 이벤트 패스(Skip) 및 자동 진행(Auto) 버튼 부재,스토리 모드 스테이지 진입 전후 대화 모달에서 대사를 빠르게 스킵하는 Skip 버튼 및 대사 자동 진행 Auto 버튼이 없어 재플레이 시 불편함 발생.,"Add 'Skip Story' and 'Auto-Play Dialogue' toggle controls to the Story Dialogue Overlay (`StoryDialogueModal.vue`). Clicking 'Skip' should instantly resolve the conversation and transition to the match, while 'Auto' should auto-advance dialogue lines every 2.5 seconds.",중간,
41,카드 팩 상점 내 뽑기 확률 공개(Drop Rate Table) 안내 모달 부재,"상점에서 카드 팩 구매 시 등급별(SSR, SR, R, N) 뽑기 확률 및 출현 가능 카드 리스트 안내 팝업이 없어 확률 정보 파악이 어려움.","Add a 'Probability / Drop Rates' (확률 정보) info button to each Card Pack item card in the store. Clicking it should open a modal listing the exact percentage odds for each rarity tier (SSR: 3%, SR: 12%, R: 35%, N: 50%) and a scrollable table of all obtainable cards in that pool.",중간,
42,전투 승리 화면 내 '다음 스테이지 바로 진행(Next Stage)' 연속 플레이 버튼 부재,스토리 모드 승리 시 다음 스테이지로 바로 이동하는 버튼이 없어 매번 에피소드 로비로 이동했다가 다시 진입해야 하는 번거로움 발생.,"Add a 'Next Stage' (다음 스테이지) action button to the Battle Victory screen. When clicked, fetch the next episode/stage metadata, verify entry energy/tokens, and directly transition into the next story match without returning to the stage select lobby.",높음,
43,상점/강화 재화 부족 시 '충전소 이동(Top-up)' 팝업 바로가기 링크 부재,"카드 강화나 상점 구매 시 골드/토큰 부족 안내만 표시되고, 상점 충전 탭으로 바로 이동하는 링크 버튼이 없어 동선 복잡.","Enhance the Insufficient Currency Alert modal. When a transaction fails due to insufficient Gold or SNS tokens, display a 'Go to Shop / Top-Up' (재화 충전소 이동) button that directly redirects the player to the currency top-up view with the relevant token tab pre-selected.",중간,
44,마이덱 구성 화면 내 카드 속성 필터 칩 및 이름 검색바 부재,보유 카드가 많아질 때 원하는 속성의 카드를 빠르게 찾을 수 있는 속성 태그 필터(수/화/지/풍) 및 카드명 검색 기능이 없음.,"Add Element Filter Chips (Water, Fire, Earth, Wind, Neutral) and a Search Input Bar to the Deck Building inventory panel. Filter the displayed card grid in real-time based on selected element tags and text query matches.",중간,
45,전투 카드 배치/뒤집기 사운드 이펙트(SFX) 및 타격감 연출 부족,전투 중 카드를 슬롯에 배치하거나 카드가 뒤집힐 때 타격음 및 속성별 특수 사운드가 부족하여 몰입감 감소.,"Integrate rich Sound FX cues into the battle engine (`BattleAudioEngine.js`). Trigger distinct SFX audio clips for card placement (heavy card thud), element flip attack (elemental WHOOSH sound), and skill node activation (magic chime) based on current audio settings.",중간,
46,카드 일러스트 확대 보기 및 상세 스토리(Lore) 모달 부재,마이덱 및 도감에서 카드를 탭했을 때 고화질 일러스트 전체화면 보기 및 캐릭터 세계관/스토리를 볼 수 있는 상세 모달이 없어 몰입감 부족.,"Create a Fullscreen Card Artwork & Lore Modal (`CardDetailLoreModal.vue`). When a user taps a card thumbnail, open a high-res artwork viewer with pinch-to-zoom support, accompanied by a slide-up panel showing the character's backstory, element origins, and artist credits.",중간,
47,메인 로비 상단 퀵 음소거(Mute) 토글 버튼 부재,로비에서 음향을 켜고 끌 때 매번 설정 모달로 이동해야 하는 불편함이 있으며 퀵 음소거 버튼이 없음.,"Add a Quick Mute Audio Toggle icon button to the top header bar of the main lobby. Render an animated speaker icon when audio is active, and allow players to mute/unmute global BGM and SFX in 1 tap without opening the Settings modal.",중간,
48,PVP 랭크 게임 연승(Win Streak) 보너스 이펙트 및 연승 스트릭 연출 부재,3연승 이상 달성 시 연승 이펙트 및 추가 보너스 명세가 승리 화면에 부각되지 않아 연승 달성 쾌감이 감소함.,"Implement a Win Streak Animation Overlay in the Victory Screen component. When a player achieves 3+ consecutive wins, play a burning flame 'Win Streak x3!' banner animation and display itemized bonus MMR/Token payouts.",중간,
49,신규 유저용 초보자 로드맵(Beginner Quest Roadmap) 미션 UI 부재,"초기 튜토리얼 완료 후 초보 유저가 단계별로 달성해야 할 로드맵 가이드 미션(예: 첫 카드 강화, 3회 승리 등)이 제공되지 않아 플레이 유도 부족.","Create a Beginner Onboarding Quest Roadmap widget on the main lobby (`BeginnerRoadmap.vue`). Display a 7-step progressive task list (e.g., 'Step 1: Upgrade any card to Lv.2') with clear progress bars and milestone card pack rewards upon completing each tier.",높음,
50,상점 내 카드 팩 단건(1회) / 연속(10연차) 소환 버튼 및 할인/보장 혜택 부재,"카드 팩 구매 시 1회 구매만 지원되고, 10회 연속 소환(10연차) 기능 및 10연차 소환 시 SR 이상 1장 확정/가격 할인 혜택이 없어 뽑기 편의성 부족.","Implement a 'Summon x1' vs 'Summon x10' Toggle/Button controls in the Card Pack Shop (`ShopCardPackModal.vue`). Add a 10x summon discount logic (e.g., 900 SNS instead of 1000 SNS) and guarantee at least one SR or higher rarity card in the 10x pack result payload.",중간,
51,전투 중 카드 패(Hand Deck) 롱 프레스 확대 프리뷰 패널 부재,모바일 하단 카드 패의 카드 수치/속성 아이콘이 작아 드래그 전 롱 프레스(Long Press) 터치를 통한 고화질 확대 가이드 오버레이가 제공되지 않음.,"Add a Card Long-Press Zoom Preview gesture handler to player hand cards in `BattleHUD.vue`. When a user touches and holds a card in hand for 300ms, display a magnified card overlay showing directional stats, element advantage text, and active skill node descriptions.",중간,
52,마이덱 덱 총 전투력(TP) 세부 기여도 분석 통계 팝오버 부재,"덱 빌딩 화면에 덱 총 전투력 수치만 표시되고 카드 기본 능력치, 스킬 강화 보너스, 속성 시너지 가산점 등의 세부 기여도 내역을 파악할 수 없음.","Create a Deck TP Breakdown Popover in `DeckBuilder.vue`. When tapping the total Deck Power (TP) badge, open a breakdown modal showing: Base Card Stats sum, Skill Node Level Bonuses, and Active Mono-Element Synergy Additions.",낮음,
53,전투 결과 화면 내 상대방 유저 '친구 신청' 및 '프로필 조회' 퀵 버튼 부재,대전 종료 후 결과 화면에서 상대 유저에게 바로 친구 요청을 보내거나 상대 프로필/대표 카드를 조회할 수 있는 퀵 버튼이 없어 소셜 연결성 부족.,Add 'Add Friend' (친구 신청) and 'Inspect Profile' (프로필 조회) quick action buttons beside the opponent's nameplate on the Battle Result screen. Tapping 'Add Friend' sends a real-time friend invite request via the social API.,중간,
54,전투 중 스킬 노드 발동 알림 배너(Skill Banner) 및 이펙트 미흡,전투 중 카드 스킬 발동 시 발동 스킬명 및 대상 수치 변동 알림 배너가 상단에 연출되지 않아 능력치 변동 파악이 어려움.,"Create an In-Battle Skill Node Activation Banner component (`SkillActivationOverlay.vue`). When a card skill node activates during card placement or flipping, slide in a brief 1.5-second banner from the top displaying the skill name, card icon, and target modifier text.",높음,
55,메인 공지 팝업 내 '오늘 하루 다시 보지 않기(Do Not Show Today)' 기능 부재,접속 시 매번 뜨는 공지사항/이벤트 모달에 오늘 하루 보지 않기 옵션이 없어 재접속 시마다 반복 닫기 필요.,"Add a 'Do Not Show Again Today' (오늘 하루 보지 않기) checkbox control to the Main Announcement Modal (`NoticeModal.vue`). When checked on close, store a timestamp string in `localStorage.setItem('snshero_notice_dismissed_at', Date.now())` and suppress modal auto-trigger for 24 hours.",중간,
56,스토리 모드 3성(Star Rating) 완벽 클리어 조건 가이드 및 누적 별 보상 바 부재,"스토리 스테이지별 3성 클리어 조건(1성 승리, 2성 6장 이상 캡처 등) 및 누적 별 달성 보상 바가 없어 스테이지 반복 도전 유인 부족.","Implement a Stage 3-Star Rating System and Cumulative Star Reward Bar in `EpisodeSelectModal.vue`. Display explicit 3-star conditions before match start, render gold stars on cleared stage tiles, and add a milestone reward chest bar for total accumulated stars.",중간,
57,카드 정렬 필터 내 '최근 획득순(Recently Acquired)' 조건 부재,새 획득 카드를 인벤토리에서 쉽게 찾을 수 있는 '최근 획득순' 정렬 필터 조건이 없어 강화/덱 구성 시 찾기 번거로움.,Add a 'Recently Acquired' (최근 획득순) sort option to the Card Inventory and Upgrade views. Store a `created_at` timestamp on card instances and sort inventory by acquisition date descending when selected.,중간,
58,전투 중 스킬 노드 발동 알림 배너(Skill Banner) 및 이펙트 미흡,전투 중 카드 스킬 발동 시 발동 스킬명 및 대상 수치 변동 알림 배너가 상단에 연출되지 않아 능력치 변동 파악이 어렴움.,"Create an In-Battle Skill Node Activation Banner component (`SkillActivationOverlay.vue`). When a card skill node activates during card placement or flipping, slide in a brief 1.5-second banner from the top displaying the skill name, card icon, and target modifier text.",높음,
59,메인 공지 팝업 내 '오늘 하루 다시 보지 않기(Do Not Show Today)' 기능 부재,접속 시 매번 뜨는 공지사항/이벤트 모달에 오늘 하루 보지 않기 옵션이 없어 재접속 시마다 반복 닫기 필요.,"Add a 'Do Not Show Again Today' (오늘 하루 보지 않기) checkbox control to the Main Announcement Modal (`NoticeModal.vue`). When checked on close, store a timestamp string in `localStorage.setItem('snshero_notice_dismissed_at', Date.now())` and suppress modal auto-trigger for 24 hours.",중간,
60,스토리 모드 3성(Star Rating) 완벽 클리어 조건 가이드 및 누적 별 보상 바 부재,"스토리 스테이지별 3성 클리어 조건(1성 승리, 2성 6장 이상 캡처 등) 및 누적 별 달성 보상 바가 없어 스테이지 반복 도전 유인 부족.","Implement a Stage 3-Star Rating System and Cumulative Star Reward Bar in `EpisodeSelectModal.vue`. Display explicit 3-star conditions before match start, render gold stars on cleared stage tiles, and add a milestone reward chest bar for total accumulated stars.",중간,
