작업 ID,대상 화면,부서,핵심 카테고리,현재 문제점,구체적 개선안,예상 기대효과,작업 상태,관련 코드 파일
SCR-04-02,상점 & 가챠 (ShopView),기획,과금전환,가챠 천장(Pity) 수치와 첫 충전 2배 혜택이 직관적으로 보이지 않아 유저의 뽑기 구매 결단력이 떨어짐.,"뽑기 배너 하단에 'SSR 확정 천장 카운트다운 프로그레스 바(예: 30회 내 확정 - 남은 횟수 실시간 표시)' 노출, 첫 충전 상품 '첫 결제 시 코인 2배 + 스타터 SSR 교환권' 강조 배지 및 10연차 시 '1장 SR 이상 확정' 혜택 가시화.",인앱 결제 전환율(Conversion Rate) 4.5% 상승 및 10연차 뽑기 판매 비중 35% 증대.,작업대기,"src/views/ShopView.tsx, src/components/GachaPityBar.tsx"
SCR-04-03,상점 & 가챠 (ShopView),디자인,사용성,"모바일 100dvh 화면에서 상점 카테고리 탭(카드팩, 장비, 코인)과 하단 소환 버튼이 분산되어 엄지손가락 한 손 조작 시 오터치 및 스크롤 피로도 발생.","하단 Thumb Zone에 '1회 소환(무료/할인 표기)'과 '10회 소환(보너스 표기)' 듀얼 CTA 버튼을 48px 규격으로 고정 배치하고, 상단 스와이프형 카테고리 칩 탭바로 100dvh 뷰포트에 밀착 정돈.",모바일 조작 동선 편의성 개선 및 상점 뷰 내 체류/소환 진입 시간 40% 단축.,작업대기,"src/views/ShopView.tsx, src/components/ShopCategoryTabs.tsx"
SCR-05-01,카드 마켓플레이스 (CardMarketplaceView),디자인,사용성,"모바일에서 카드 판매가 등록 시 가상 키보드가 화면을 가려 100dvh 레이아웃이 깨지고, 호가창과 매물 목록의 가독성이 낮음.","가격 입력 시 가상 키보드 의존을 줄이는 '최저가 자동 입력 / +100 / +1,000' 원터치 프리셋 퀵 버튼 바 제공 및 모바일 화면에 최적화된 2단 탭(실시간 호가 vs 전체 매물) 뷰포트 정돈.",모바일 매물 등록 소요 시간 50% 단축 및 가격 오입력 사고 70% 예방.,작업대기,"src/views/CardMarketplaceView.tsx, src/components/MarketplaceOrderPad.tsx"
SCR-05-02,카드 마켓플레이스 (CardMarketplaceView),개발,재미/도파민,매물 체결 및 시세 차익 발생 시 알림이 텍스트로만 처리되어 트레이딩 성공의 쾌감과 도파민 체감이 부족함.,실시간 매물 판매 체결 시 코인 샤워 파티클 + 카운팅 SFX + '시세 차익 +N SNS 달성' 승리 배너 연출 적용 및 최근 24시간 실시간 체결 티커(Live Ticker) 연동.,거래소 체류 시간 35% 증가 및 일일 P2P 거래 활성도 40% 상승.,작업대기,"src/views/CardMarketplaceView.tsx, src/components/LiveTradeTicker.tsx, src/lib/sound.ts"
SCR-05-03,카드 마켓플레이스 (CardMarketplaceView),기획,과금전환,급매물 발견 시 보유 코인이 부족하면 상점으로 이탈하는 사이 매물이 품절되어 결제 이탈 발생.,매수 잔액 부족 시 모달 내에서 즉시 차액만 결제 가능한 '1-Tap 즉시 코인 충전(Shortage Top-Up) 패키지' 팝업 연결 및 판매 등록 슬롯 확장권 판매 동선 구축.,마켓플레이스 내 다이렉트 결제 전환율 4.0% 유도 및 코인 경제 회전율 가속.,작업대기,"src/views/CardMarketplaceView.tsx, src/views/ShopView.tsx"
SCR-06-01,가상 주식 거래소 (StockMarketView),개발,재미/도파민,캐릭터 주가 변동 및 배당금 지급이 정적 수치로만 갱신되어 주주로서의 성취감과 배당금 수령의 도파민 쾌감이 결여됨.,보유 캐릭터 배틀 승리 시 실시간 배당금 입금 토스트 + 코인 차링 SFX + '배당금 전액 즉시 복리 재투자(Auto-Compound)' 1-클릭 버튼 구현 및 일일 수익률 +10% 초과 시 폭죽 파티클 축하 연출.,주식 거래소 일일 방문 횟수 40% 증가 및 배당금 수령 유저의 게임 잔존율(Retention) 25% 상승.,작업대기,"src/views/StockMarketView.tsx, src/components/DividendNotification.tsx, src/lib/sound.ts"
SCR-06-02,가상 주식 거래소 (StockMarketView),디자인,사용성,모바일 100dvh 화면에서 복잡한 차트와 수량 입력창이 화면을 가득 채워 빠른 매수/매도 주문 시 스크롤 및 오터치 발생.,"모바일 뷰포트 최적화 반응형 미니 캔들/라인 차트 구성, 하단 고정형 주문 패널에 '10% / 25% / 50% / MAX' 원터치 슬라이더 칩 및 44px 이상 듀얼 '즉시 매수/매도' 버튼 정돈.",모바일 주문 체결 속도 3배 단축 및 주문 이탈률 35% 감소.,작업대기,"src/views/StockMarketView.tsx, src/components/StockOrderSheet.tsx"
SCR-06-03,가상 주식 거래소 (StockMarketView),기획,과금전환,"캐릭터 주가 급등 시 추가 시드머니가 부족한 유저를 위한 즉시 과금 모델이 없고, 배당 혜택을 극대화하는 시즌 패스 상품 부재.","잔고 부족 시 급등주 즉시 매수를 돕는 '스타터 시드머니 팩(1,200원 한정)' 팝업 연동 및 30일간 전 종목 배당률 +5% 및 거래 수수료 면제 혜택을 주는 '월간 VIP 주주 클럽권' 판매 상품 배치.",거래소 사용자 결제 전환율 4.8% 신규 창출 및 인당 평균 결제액(ARPPU) 증대.,작업대기,"src/views/StockMarketView.tsx, src/views/ShopView.tsx"
SCR-07-01,승부 예측 시장 (PredictionMarketView),개발,재미/도파민,예측 경기 종료 후 적중 결과가 정적 텍스트로만 표시되어 베팅 성공 시의 성취감과 도파민 짜릿함이 미미함.,예측 적중 시 풀스크린 'JACKPOT PREDICTION' 승리 팡파르 SFX + 골드 코인 버스트 파티클 + Web Vibration 리듬 햅틱 연동 및 획득 배당금 실시간 지갑 카운팅 애니메이션 구현.,예측 시장 재참여율(Re-betting Rate) 45% 증가 및 승부 예측 참여자 잔존율 28% 상승.,작업대기,"src/views/PredictionMarketView.tsx, src/components/PredictionJackpotModal.tsx, src/lib/sound.ts"
SCR-07-02,승부 예측 시장 (PredictionMarketView),디자인,사용성,모바일 100dvh에서 양 선수 덱 비교와 배당률 정보가 복잡하게 얽혀 있어 모바일 한 손 터치 조작 시 오터치와 베팅 실수 빈발.,"대진 카드 중앙에 실시간 배당률 VS 게이지(A배당 vs B배당) 직관화, 하단 Thumb Zone에 '100 / 500 / 1,000 / 올인' 원터치 베팅 칩 및 48px '베팅 확정' 슬라이드/원터치 버튼 정돈.",모바일 베팅 완료 시간 40% 단축 및 터치 조작 만족도 대폭 개선.,작업대기,"src/views/PredictionMarketView.tsx, src/components/PredictionBetSlip.tsx"
SCR-07-03,승부 예측 시장 (PredictionMarketView),기획,과금전환,"빅매치 시작 직전 코인 잔액 부족 시 결제 이탈이 발생하고, 미적중 시 유저 좌절로 인한 이탈 방어 장치 부재.","경기 시작 5분 전 잔액 부족 유저 대상 '빅매치 승부 패키지 (1,000원 = 3,000 코인 + 미적중 시 50% 페이백 보험 쿠폰)' 1-Tap 다이렉트 결제 모달 연동.",빅매치 타임 결제 전환율(Conversion) 5.2% 달성 및 미적중 유저 이탈률 35% 방어.,작업대기,"src/views/PredictionMarketView.tsx, src/views/ShopView.tsx"
SCR-08-01,시련의 탑 & 던전/레이드 (Tower / Dungeon / Boss Raid),개발,재미/도파민,층별 클리어 및 보스 격파 시 결과 화면이 단조로워 PVE 상위 층 돌파의 성취감과 보상 수령의 도파민 쾌감이 결여됨.,보스 격파 순간 슬로우모션 줌인 + 'STAGE CLEARED' 팡파르 SFX + 보스 보물상자 터치 개봉 연출(황금 광원 + 장비/카드 쏟아짐) 및 10층 단위 마일스톤 돌파 시 전 서버 축하 티커 연동.,PVE 콘텐츠 일일 도전 횟수 40% 증가 및 중후반 스테이지 완주율 25% 상승.,작업대기,"src/views/TowerView.tsx, src/components/BossClearModal.tsx, src/lib/sound.ts"
SCR-08-02,시련의 탑 & 던전/레이드 (Tower / Dungeon / Boss Raid),디자인,사용성,100층 높이의 탑 UI 스크롤 시 모바일 100dvh 화면에서 끝없는 상하 스크롤 피로도가 발생하고 보스 기믹 정보가 사전에 직관적으로 보이지 않음.,"모바일 Thumb Zone에 '현재 최고 도전 층 즉시 이동(Quick Jump)' FAB 고정, 10층 단위 미니맵 앵커 탭 구축, 전투 전 보스 카드 탭 시 기믹 예고 뱃지(예: '화염 반사', '9턴 광폭화') 시각화.",타워 층 탐색 시간 55% 단축 및 보스 기믹 숙지율 개선으로 불필요한 전멸 방지.,작업대기,"src/views/TowerView.tsx, src/components/TowerFloorNavigator.tsx"
SCR-08-03,시련의 탑 & 던전/레이드 (Tower / Dungeon / Boss Raid),기획,과금전환,"보스전 체력 극소량 잔여 패배 시 유저의 허탈감으로 인한 게임 종료가 잦고, 층별 클리어 보상을 두 배로 받는 성장 과금 모델 부재.",보스전 10% 미만 잔여 패배 시 '라스트 스탠드 긴급 지원팩 (990원 = 보스 약점 폭탄 1회 + 즉시 부활)' 1-Tap 다이렉트 팝업 연동 및 10층마다 추가 정복 패스 판매 동선 배치.,PVE 실패 유저 이탈률 30% 방어 및 층별 정복 패스 과금 전환율 4.6% 달성.,작업대기,"src/views/TowerView.tsx, src/views/ShopView.tsx"
SCR-09-01,미션 게임 아레나 (Poki 110선 Canvas Games),디자인,사용성,"모바일 웹에서 캔버스 미니게임 조작 시 브라우저 기본 제스처(당겨서 새로고침, 뒤로가기 스와이프)가 간섭하여 조작감이 끊기고 화면이 흔들림.","미니게임 캔버스 컨테이너에 touch-action: none 및 100dvh 뷰포트 완전 잠금 적용, 한 손 엄지 전용 원터치 일시정지/재도전 컨트롤러(44px 이상) 오버레이 제공.",캔버스 게임 조작 오작동률 90% 차단 및 모바일 터치 반응성 쾌적도 대폭 개선.,작업대기,"src/views/MiniGameArenaView.tsx, src/components/CanvasGameWrapper.tsx"
SCR-09-02,미션 게임 아레나 (Poki 110선 Canvas Games),개발,재미/도파민,미니게임 플레이가 메인 배틀 TCG 코어 루프와 단절되어 단순 소모성 미니게임에 그치고 도파민 보상 피드백이 빈약함.,"미니게임 달성 스코어에 따라 메인 배틀 카드 육성 재화(경험치 물약, 가챠 티켓 조각)를 즉시 드랍하는 연계 보상 시스템 구축 및 신기록(NEW HIGH SCORE) 달성 시 골드 팡파르 SFX + 햅틱 진동 연동.",미니게임 일일 플레이 세션 수 55% 증가 및 메인 배틀 콘텐츠와의 리텐션 시너지 창출.,작업대기,"src/views/MiniGameArenaView.tsx, src/lib/MiniGameRewardEngine.ts, src/lib/sound.ts"
SCR-09-03,미션 게임 아레나 (Poki 110선 Canvas Games),기획,과금전환,최고 기록 갱신 직전 게임오버 시 아쉬운 상황을 만회할 즉각적인 이어하기 및 입장권 과금 모델 부재.,"게임오버 시 '3초 카운트다운 긴급 부활 티켓 (300원 또는 일일 1회 무료 광고)' 1-Tap 다이렉트 컨티뉴 팝업 및 하루 동안 110선 전 종목 보상 2배의 '아레나 프리미엄 자유이용권 (1,000원)' 배치.",아레나 화면 내 소액 마이크로 트랜잭션(Micro-transaction) 전환율 4.2% 신규 확보.,작업대기,"src/views/MiniGameArenaView.tsx, src/views/ShopView.tsx"
SCR-10-01,소셜 & 길드 (Guild / Friend Battle / Community),개발,재미/도파민,길드전 및 친구 친선전 승리 후 보상 수령이 텍스트 로그에 그쳐 소셜 경쟁의 쾌감과 길드원 간 공유 도파민이 약함.,친선전 승리 시 '실시간 세레머니 이모티콘 팝업' + 길드 레이드/길드전 보상 상자 공동 개봉 시 채팅방 황금 축하 배너 및 폭죽 SFX 연동.,소셜 콘텐츠 유저 참여율 45% 증가 및 길드원 1일 채팅/상호작용 수 60% 상승.,작업대기,"src/views/GuildView.tsx, src/components/GuildChat.tsx, src/lib/sound.ts"
SCR-10-02,소셜 & 길드 (Guild / Friend Battle / Community),디자인,사용성,"모바일 100dvh 화면에서 길드원 목록, 채팅창, 친구 친선전 룸 생성이 분산되어 친구를 초대해 바로 배틀하기까지 동선이 복잡함.","상단에 '1-Tap 친구 친선전 초대 링크 복사' 바 고정, 친구 목록 옆에 44px '즉시 대전 신청' 원터치 버튼 배치, 모바일 하단 플로팅 미니 길드 채팅 시트 정돈.",친구 대전 매칭 성사 소요 시간 70% 단축 및 모바일 터치 접근성 개선.,작업대기,"src/views/GuildView.tsx, src/components/FriendMatchModal.tsx"
SCR-10-03,소셜 & 길드 (Guild / Friend Battle / Community),기획,과금전환,"친구 초대 바이럴 보상이 약하고, 길드 경쟁을 촉진하는 단체 버프 기부 상품 및 용병 대여 수익화 모델 부재.","친구 초대 시 양측 모두에게 SSR 카드 팩을 주는 '친구 추천 리퍼럴 패스' 및 길드전 기간 길드원 전체 공격력 +5%를 지원하는 '길드 승리 응원 펀딩팩 (1,500원)' 상품 배치.",신규 오가닉 유저 유입률 25% 신장 및 길드 커뮤니티 과금 전환율 3.9% 확보.,작업대기,"src/views/GuildView.tsx, src/views/ShopView.tsx"
SCR-11-01,웹소설·웹툰 미디어 허브 (NovelView / AnimeView / MovieView),디자인,사용성,"모바일 웹 뷰어에서 상하단 네비게이션이 본문을 가려 100dvh 몰입감이 저해되고, 웹툰 스크롤 시 잦은 끊김 및 UI 간섭 발생.","스크롤 다운 시 상하단 UI 자동 숨김(Full Immersion), 뷰포트 중앙 탭 시 44px 이상 폰트/야간모드/목차 퀵 툴바 토글 오버레이 및 이미지 레이지 로딩 적용.",미디어 뷰어 평균 독서 체류 시간 45% 증가 및 모바일 조작 편의성 극대화.,작업대기,"src/views/NovelView.tsx, src/components/MediaViewer.tsx"
SCR-11-02,웹소설·웹툰 미디어 허브 (NovelView / AnimeView / MovieView),개발,재미/도파민,미디어 감상이 단순 텍스트/이미지 열람으로 끝나며 메인 TCG 카드 수집 루프와의 유기적 보상 연계가 결여됨.,매 에피소드 완독 시 골드 상자 팝업 + 팡파르 SFX + '스토리 연계 카드 소환권 조각 & 코인 즉시 수령' 연출 연동 및 카드 도감 내 숨겨진 로어(Lore) 해금 시스템 구축.,미디어 허브 완독률 65% 향상 및 신규 카드 도감 활성화율 35% 상승.,작업대기,"src/views/NovelView.tsx, src/lib/LoreUnlockEngine.ts, src/lib/sound.ts"
SCR-11-03,웹소설·웹툰 미디어 허브 (NovelView / AnimeView / MovieView),기획,과금전환,스토리 속 매력적인 주인공 카드가 등장해도 즉시 획득할 수 있는 경로가 단절되어 있어 IP 기반 구매 전환 기회 누락.,뷰어 에피소드 하단에 등장 캐릭터 '주인공 한정 픽업 가챠 팩 (990원)' 1-Tap 인앱 결제 배너 배치 및 전편 무제한 열람 + SSR 확정권을 주는 '미디어 올인원 패스' 판매 동선 연계.,미디어 허브 유저의 인앱 과금 전환율 3.6% 창출 및 스토리 IP 기반 ARPU 증대.,작업대기,"src/views/NovelView.tsx, src/views/ShopView.tsx"
SCR-12-01,설정 & 보상 센터 (SettingView / DailyMissions / Attendance),디자인,사용성,"일일 미션과 출석 보상을 각각 하나씩 터치해서 받아야 해 피로도가 높고, 모바일 100dvh 내 설정 옵션과 보상 탭의 동선이 분산됨.","미션 센터 상단에 48px 대형 '원클릭 일괄 수령(Claim All)' 플로팅 버튼 배치, 출석 체크/일일 미션/환경 설정을 상단 원터치 칩 탭으로 통합 정돈.",일일 보상 수령 시간 80% 단축 및 모바일 UX 편의성 만족도 50% 향상.,작업대기,"src/views/SettingView.tsx, src/components/DailyMissionCenter.tsx"
SCR-12-02,설정 & 보상 센터 (SettingView / DailyMissions / Attendance),개발,성능,모바일 웹 장시간 플레이 시 파티클과 배경 렌더링으로 인한 스마트폰 발열 및 배터리 소모가 심함.,"설정 창에 '저전력 배터리 절약 모드(30fps 프레임 캡, 파티클 이펙트 경량화, 백그라운드 렌더링 일시 중지)' 원터치 토글 스위치 및 Web Vibration 햅틱 피드백 전역 전역 On/Off 제어 모듈 구현.",배터리 소모량 35% 절감 및 장시간 플레이 세션 지속률 20% 상승.,작업대기,"src/views/SettingView.tsx, src/lib/BatterySaverEngine.ts"
SCR-12-03,설정 & 보상 센터 (SettingView / DailyMissions / Attendance),기획,과금전환,"출석 체크 보상이 무료 지급에만 머물러 있고 결석 시 리텐션이 끊어지며, 미션 완수 후 추가 결제 유도 모델 부재.","30일간 매일 출석 보상을 2배로 지급하고 결석일 3회 무료 복구권을 제공하는 'VIP 2배 출석 패스 (1,500원)' 및 일일 미션 6개 완수 시 즉시 해금되는 '일일 올클리어 시크릿 특가 팩' 배치.",보상 센터 내 정기 결제 전환율 4.4% 신규 창출 및 월간 리텐션(M1 Retention) 18% 개선.,작업대기,"src/views/SettingView.tsx, src/views/ShopView.tsx"
SCR-01-04,홈 & 로비 (HomeView),기획,재미/도파민,"로비 접속 시 방치 보상(AFK Patrol) 수확의 즉각적인 재미가 결여되어 있고, 연속 승리(Win Streak)의 시각적 위상이 로비에 반영되지 않음.","로비 중앙 하단에 '24시간 오프라인 순찰 수확 상자'를 배치하여 원터치 수확 시 코인 폭발 파티클 + 팡파르 SFX 제공, 상단 프로필 옆에 'N연승 불꽃 뱃지'를 점화하여 승리 도파민 지속 연계.",일일 최초 접속 즉시 리텐션(D1 Retention) 24% 개선 및 방치 보상 수확 만족도 향상.,작업대기,"src/views/HomeView.tsx, src/components/AfkHarvestBox.tsx, src/lib/sound.ts"
SCR-01-05,홈 & 로비 (HomeView),디자인,사용성,"로비 상단 헤더의 알림, 우편, 사운드, 드로어 아이콘이 모바일 화면에서 과밀하게 나열되어 오터치가 잦고 메인 아트 영역을 침범함.","상단 분산된 아이콘을 단일 '스마트 퀵 허브(Smart Quick Hub)' 드롭다운(48px 규격)으로 통합하고, 읽지 않은 우편/알림을 원터치 일괄 확인하는 미니멀 헤더 구축.",모바일 홈 화면 상단 조작 피로도 40% 감소 및 로비 메인 비주얼 집중도 30% 증대.,작업대기,"src/views/HomeView.tsx, src/components/HomeQuickHub.tsx"
SCR-01-06,홈 & 로비 (HomeView),개발,성능,로비 화면이 백그라운드 탭으로 전환되거나 유저가 잠시 화면을 껐을 때도 오토배틀 인터벌과 렌더 루프가 계속 동작하여 불필요한 배터리/메모리 소모 유발.,document.visibilityState 및 requestAnimationFrame 생명주기를 감지하여 비활성 탭 진입 시 즉각 백그라운드 틱 정지 및 메모리 캐시 정리(Zero Background Overhead) 엔진 적용.,대기 상태 브라우저 메모리 점유율 45% 절감 및 모바일 배터리 낭비 방지.,작업대기,"src/views/HomeView.tsx, src/lib/LifecycleEngine.ts"
SCR-02-04,배틀 아레나 (PlayGameView),개발,성능,AI 난이도 연산 및 연쇄 플립 시뮬레이션이 메인 UI 스레드에서 실행되어 AI 턴마다 100~300ms 화면 프리징(Frame Drop) 발생.,AI 의사결정 및 보드 뒤집기 트리 탐색 알고리즘을 백그라운드 Web Worker(aiBattleWorker.ts)로 이관하여 메인 스레드 블로킹 제로화 및 무지연 60fps 렌더링 실현.,AI 배틀 턴 전환 시 인풋 지연 0ms 달성 및 저사양 모바일 화면 끊김 현상 100% 제거.,작업대기,"src/views/PlayGameView.tsx, src/workers/aiBattleWorker.ts"
SCR-02-05,배틀 아레나 (PlayGameView),개발,재미/도파민,"턴 타이머 진행 시 시각적 긴장감이 부족하고, 제한 시간 임박 시의 몰입형 오디오/비주얼 도파민 연출이 결여됨.",턴 잔여 시간 5초 이하 시 1초 단위 가속 심장박동(Heartbeat) SFX + 화면 테두리 레드 비네팅(Red Vignette) 펄스 이펙트 + 단말기 햅틱 카운트다운 진동 연 연동.,턴 종료 직전의 전투 긴장도 및 집중 몰입도 40% 증가.,작업대기,"src/views/PlayGameView.tsx, src/components/TurnCountdownVignette.tsx, src/lib/sound.ts"
SCR-02-06,배틀 아레나 (PlayGameView),기획,과금전환,배틀 중 절체절명의 수세에 몰렸을 때 전세를 뒤집을 수 있는 인게임 변수 아이템 및 즉시 사용 가능한 소액 결제 모델 부재.,보드 열세 상황(3점 이하 차이) 시 턴당 1회 한정 '매직 체인지 와일드 찬스(300원 = 손패 1장을 전 방향 파워 +2 와일드 조커 카드로 즉시 교체)' 1-Tap 트리거 버튼 배치.,패배 위기 상황에서의 역전 도파민 제공 및 배틀 인게임 마이크로 결제 전환율 3.5% 창출.,작업대기,"src/views/PlayGameView.tsx, src/components/MagicChanceButton.tsx"
SCR-03-04,마이덱 & 카드 관리 (MyDeckView),기획,재미/도파민,카드가 단순 전투 수치 덩어리로만 취급되어 영웅과의 정서적 유대감 및 다마고치식 육성 돌봄(Companion Interaction) 재미가 결여됨.,"카드 상세 뷰에 '애정도(Affection) & 간식 주기' 다마고치 인터랙션 추가, 터치 시 애정도 하트 파티클 + 전용 음성 보이스 출력 및 친밀도 Max 달성 시 히든 전투 패시브(플립 방어 +5%) 해금 연동.",덱 관리 화면 내 유저 체류 시간 50% 증가 및 카드 애착도 기반 장기 리텐션 20% 상승.,작업대기,"src/views/MyDeckView.tsx, src/components/CompanionCareModal.tsx, src/lib/sound.ts"
SCR-03-05,마이덱 & 카드 관리 (MyDeckView),디자인,사용성,"PVP 대전, 보스 레이드, 시련의 탑 등 콘텐츠마다 상이한 속성 덱을 맞출 때 단일 덱 슬롯만 존재하여 매번 5장을 재편성하는 피로도 발생.",상단 덱 영역에 '덱 1(PVP 공격) / 덱 2(방어) / 덱 3(타워 보스용)' 3구 프리셋 원터치 스위처 바 구축 및 덱 복사/이름 편집 기능 제공.,다양한 콘텐츠 진입 시 덱 세팅 번거로움 75% 감소 및 전략적 덱 다변화 유도.,작업대기,"src/views/MyDeckView.tsx, src/components/DeckPresetSwitcher.tsx"
